id,value
0,0.0
1,0.0
2,0.0
3,6.2814207
4,0.0
5,0.0
6,0.0
7,1.201772
8,0.0
9,0.0
10,0.41687155
11,0.0
12,0.0
13,5.00704
14,0.0
15,0.0
16,0.0
17,7.289454
18,0.0
19,6.196144
20,0.0
21,0.0
22,4.6029816
23,4.2794576
24,0.0
25,2.0493884
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,7.3446894
32,0.91910833
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,14.901468
47,0.0
48,0.0
49,3.6793633
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.96355754
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,11.124555
66,18.843464
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,9.446345
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,2.5498042
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,22.411356
87,0.0
88,0.0
89,12.200162
90,0.0
91,27.348536
92,0.0
93,12.946544
94,0.0
95,0.0
96,9.913399
97,0.0
98,0.0
99,2.260085
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,19.93759
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,3.002074
117,0.0
118,0.27064487
119,17.532831
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,3.5235603
131,0.0
132,0.0
133,0.0
134,12.233532
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,14.411469
141,24.336296
142,16.113686
143,6.9312525
144,0.0
145,11.732391
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.44360623
158,1.1545783
159,4.8902597
160,0.0
161,0.0
162,0.0
163,4.3974547
164,0.0
165,0.8950212
166,0.0
167,0.0
168,0.0
169,0.0
170,7.089738
171,0.0
172,11.549939
173,14.628624
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,7.312702
184,0.0
185,0.0
186,0.0
187,0.0
188,10.155011
189,0.0
190,2.78903
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,18.893026
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,5.0989785
208,6.38293
209,0.0
210,8.979414
211,0.0
212,7.8659506
213,0.0
214,2.5076387
215,0.0
216,0.0
217,0.0
218,2.5739295
219,0.0
220,6.1569576
221,5.7500815
222,0.0
223,0.0
224,8.670066
225,0.0
226,0.0
227,0.5269746
228,0.0
229,4.8362556
230,0.0
231,0.0
232,0.0
233,3.9129727
234,0.0
235,0.0
236,7.2081065
237,7.693004
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,7.4179907
248,0.0
249,0.0
250,6.3132234
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,4.58337
258,0.0
259,3.6810582
260,0.0
261,0.0
262,15.860996
263,0.0
264,0.0
265,0.0
266,3.57054
267,7.2588153
268,8.621671
269,0.0
270,0.46820325
271,12.772695
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,4.3072543
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,1.1762667
290,0.0
291,0.0
292,0.0
293,0.0
294,10.748964
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,3.7921627
305,0.0
306,0.0
307,0.0
308,0.0
309,4.4577026
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,9.776971
321,24.089148
322,0.0
323,0.0
324,0.0
325,0.0
326,3.082805
327,16.26973
328,0.0
329,0.0
330,8.851839
331,0.0
332,0.0
333,0.64982325
334,0.0
335,0.0
336,10.790051
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,3.9888852
346,0.0
347,0.0
348,0.0
349,2.8901567
350,0.0
351,23.066824
352,0.0
353,0.0
354,1.6994905
355,0.0
356,0.0
357,0.0
358,0.0
359,3.9901214
360,0.0
361,0.0
362,19.482248
363,0.0
364,7.5962873
365,6.4929013
366,0.0
367,10.391052
368,0.0
369,0.0
370,0.0
371,0.0
372,5.521611
373,3.212951
374,0.0
375,0.0
376,0.0
377,0.0
378,16.591137
379,0.0
380,0.0
381,10.2990055
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,2.4620042
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,6.5370145
402,20.720667
403,0.0
404,0.0
405,0.0
406,0.0
407,18.999304
408,0.0
409,0.0
410,11.813612
411,0.0
412,0.0
413,21.185848
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,4.528452
421,0.0
422,0.0
423,0.0
424,0.0
425,9.70343
426,0.0
427,0.0
428,0.0
429,0.0
430,1.1513038
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,3.135283
437,0.0
438,3.1350236
439,0.0
440,3.7560766
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,10.346281
469,0.0
470,0.0
471,0.0
472,4.856208
473,0.0
474,8.280526
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,1.3983499
482,0.0
483,0.0
484,0.0
485,19.190817
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,6.137395
493,0.0
494,0.0
495,4.696759
496,0.0
497,1.6186212
498,15.344108
499,0.0
500,0.0
501,2.0542696
502,2.0996053
503,5.375159
504,0.0
505,0.0
506,0.0
507,2.477972
508,0.0
509,0.0
510,4.988504
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.7794783
519,0.0
520,17.681784
521,0.0
522,0.98750997
523,0.0
524,0.0
525,0.0
526,8.799234
527,0.0
528,0.0
529,18.019825
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,1.5989908
539,0.0
540,8.70946
