Site_ID,Sample_ID,Data_Source,Latitude_Degrees,Longitude_Degrees,Reef_ID,Ocean_Name,Realm_Name,Country_Name,Site_Name,Distance_to_Shore,Exposure,Turbidity,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Bleaching_ID,Bleaching_Level,S1,S2,S3,S4,Percent_Bleached_Sum,Severity_Code,Bleaching_Prevalence_Score,Code_Comment,Cover_ID,Substrate_Name,Calculated_S1,Calculated_S2,Calculated_S3,Calculated_S4,Percent_Cover_Sum,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean
88,10313837,Reef_Check,-16.8725,146.2046667,146.12.28E.16.52.35S,Pacific,Central Indo-Pacific,Australia,,21786.38,Sheltered,0.0526,36.004244,7,3,2010,7.0,191190.0,Population,0.0,0.0,0.0,0.0,0.0,,,,45825.0,Hard Coral,35.0,30.0,12.5,15.0,23.125,300.33,302.44,299.59,294.85,305.79,2.09,5.0,0.67,0.85,0.0,-3.345555556,4.23,10.0,6.09,31.0,6.0,0.0,3.16,17.6,2.11,0.14,2.09,-7.44,3.49,-2.7,0.0,1.66,8.0,1.0,0.0,1.2,8.44,0.42
88,10313837,Reef_Check,-16.8725,146.2046667,146.12.28E.16.52.35S,Pacific,Central Indo-Pacific,Australia,,21786.38,Sheltered,0.0526,36.004244,7,3,2010,7.0,202386.0,Colony,0.0,0.0,0.0,0.0,0.0,,,,45825.0,Hard Coral,35.0,30.0,12.5,15.0,23.125,300.33,302.44,299.59,294.85,305.79,2.09,5.0,0.67,0.85,0.0,-3.345555556,4.23,10.0,6.09,31.0,6.0,0.0,3.16,17.6,2.11,0.14,2.09,-7.44,3.49,-2.7,0.0,1.66,8.0,1.0,0.0,1.2,8.44,0.42
88,10313818,Reef_Check,-16.8725,146.2046667,146.12.16.8E.16.52.21S,Pacific,Central Indo-Pacific,Australia,,21786.38,Sheltered,0.0526,36.004244,29,3,2008,4.0,,,,,,,,,,,45807.0,Hard Coral,27.5,40.0,35.0,27.5,32.5,299.37,300.37,299.59,294.85,305.79,2.09,8.0,-0.56,0.85,0.0,-3.345555556,4.23,2.0,6.09,31.0,6.0,1.06,3.16,17.6,2.11,-1.93,2.09,-7.44,3.49,-2.7,1.0,1.66,8.0,1.0,0.0,1.2,8.44,0.42
88,10313836,Reef_Check,-16.8725,146.2046667,146.12.28E.16.52.35S,Pacific,Central Indo-Pacific,Australia,,21786.38,Sheltered,0.0526,36.004244,29,3,2008,9.5,191189.0,Population,0.0,0.0,0.0,0.0,0.0,,,,45826.0,Hard Coral,52.5,27.5,35.0,,38.33333333,299.37,300.37,299.59,294.85,305.79,2.09,8.0,-0.56,0.85,0.0,-3.345555556,4.23,2.0,6.09,31.0,6.0,1.06,3.16,17.6,2.11,-1.93,2.09,-7.44,3.49,-2.7,1.0,1.66,8.0,1.0,0.0,1.2,8.44,0.42
88,10313836,Reef_Check,-16.8725,146.2046667,146.12.28E.16.52.35S,Pacific,Central Indo-Pacific,Australia,,21786.38,Sheltered,0.0526,36.004244,29,3,2008,9.5,202385.0,Colony,0.0,0.0,0.0,0.0,0.0,,,,45826.0,Hard Coral,52.5,27.5,35.0,,38.33333333,299.37,300.37,299.59,294.85,305.79,2.09,8.0,-0.56,0.85,0.0,-3.345555556,4.23,2.0,6.09,31.0,6.0,1.06,3.16,17.6,2.11,-1.93,2.09,-7.44,3.49,-2.7,1.0,1.66,8.0,1.0,0.0,1.2,8.44,0.42
