Site_ID,Sample_ID,Data_Source,Latitude_Degrees,Longitude_Degrees,Reef_ID,Ocean_Name,Realm_Name,Country_Name,Site_Name,Distance_to_Shore,Exposure,Turbidity,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Bleaching_ID,Bleaching_Level,S1,S2,S3,S4,Percent_Bleached_Sum,Severity_Code,Bleaching_Prevalence_Score,Code_Comment,Cover_ID,Substrate_Name,Calculated_S1,Calculated_S2,Calculated_S3,Calculated_S4,Percent_Cover_Sum,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean
9602,10308411,Reef_Check,9.927777778,104.0199444,104.1.11.78E.9.55.40.01N,Pacific,Central Indo-Pacific,Vietnam,,75.64,Sheltered,0.0,49.850242,25,5,2010,3.0,,,,,,,,,,,40532.0,Hard Coral,15.0,10.0,15.0,12.5,13.125,302.33,304.07,302.01,298.38,305.67,1.21,4.0,0.69,0.89,0.0,-3.174444444,2.83,8.0,5.51,34.0,6.0,7.75,3.02,20.83,2.11,0.52,1.21,-5.17,2.11,-1.53,1.0,1.63,7.0,1.0,1.93,1.17,10.19,0.33
9602,10308412,Reef_Check,9.927777778,104.0199444,104.1.11.78E.9.55.40.01N,Pacific,Central Indo-Pacific,Vietnam,,75.64,Sheltered,0.0,49.850242,25,5,2010,8.5,,,,,,,,,,,40530.0,Hard Coral,22.5,10.0,10.0,17.5,15.0,302.33,304.07,302.01,298.38,305.67,1.21,4.0,0.69,0.89,0.0,-3.174444444,2.83,8.0,5.51,34.0,6.0,7.75,3.02,20.83,2.11,0.52,1.21,-5.17,2.11,-1.53,1.0,1.63,7.0,1.0,1.93,1.17,10.19,0.33
9602,10308408,Reef_Check,9.927777778,104.0199444,104.1.11.78E.9.55.40.01N,Pacific,Central Indo-Pacific,Vietnam,,75.64,Sheltered,0.0,49.850242,18,12,2007,8.5,,,,,,,,,,,40531.0,Hard Coral,17.5,12.5,15.0,30.0,18.75,300.72,301.2,302.01,298.38,305.67,1.21,5.0,0.14,0.89,0.0,-3.174444444,2.83,2.0,5.51,34.0,6.0,0.0,3.02,20.83,2.11,-2.35,1.21,-5.17,2.11,-1.53,1.0,1.63,7.0,1.0,0.0,1.17,10.19,0.33
9602,10308413,Reef_Check,9.927777778,104.0199444,104.1.11.78E.9.55.40.01N,Pacific,Central Indo-Pacific,Vietnam,,75.64,Sheltered,0.0,49.850242,18,12,2007,3.0,,,,,,,,,,,40529.0,Hard Coral,37.5,27.5,32.5,22.5,30.0,300.72,301.2,302.01,298.38,305.67,1.21,5.0,0.14,0.89,0.0,-3.174444444,2.83,2.0,5.51,34.0,6.0,0.0,3.02,20.83,2.11,-2.35,1.21,-5.17,2.11,-1.53,1.0,1.63,7.0,1.0,0.0,1.17,10.19,0.33
9602,10308409,Reef_Check,9.927777778,104.0199444,104.1.11.78E.9.55.40.01N,Pacific,Central Indo-Pacific,Vietnam,,75.64,Sheltered,0.0,49.850242,25,10,2009,3.0,,,,,,,,,,,40527.0,Hard Coral,40.0,42.5,20.0,47.5,37.5,301.4,302.36,302.01,298.38,305.67,1.21,3.0,0.3,0.89,0.0,-3.174444444,2.83,2.0,5.51,34.0,6.0,0.0,3.02,20.83,2.11,-1.19,1.21,-5.17,2.11,-1.53,0.0,1.63,7.0,1.0,0.0,1.17,10.19,0.33
9602,10308410,Reef_Check,9.927777778,104.0199444,104.1.11.78E.9.55.40.01N,Pacific,Central Indo-Pacific,Vietnam,,75.64,Sheltered,0.0,49.850242,25,10,2009,8.5,,,,,,,,,,,40528.0,Hard Coral,47.5,47.5,40.0,37.5,43.125,301.4,302.36,302.01,298.38,305.67,1.21,3.0,0.3,0.89,0.0,-3.174444444,2.83,2.0,5.51,34.0,6.0,0.0,3.02,20.83,2.11,-1.19,1.21,-5.17,2.11,-1.53,0.0,1.63,7.0,1.0,0.0,1.17,10.19,0.33
