Site_ID,Sample_ID,Data_Source,Latitude_Degrees,Longitude_Degrees,Reef_ID,Ocean_Name,Realm_Name,Country_Name,Site_Name,Distance_to_Shore,Exposure,Turbidity,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Bleaching_ID,Bleaching_Level,S1,S2,S3,S4,Percent_Bleached_Sum,Severity_Code,Bleaching_Prevalence_Score,Code_Comment,Cover_ID,Substrate_Name,Calculated_S1,Calculated_S2,Calculated_S3,Calculated_S4,Percent_Cover_Sum,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean
4322,10313431,Reef_Check,-2.94125,135.6675,135.40.3E.2.56.28.5S,Pacific,Central Indo-Pacific,Indonesia,,555.29,Sheltered,0.0907,51.242587,23,7,2010,12.0,190930.0,Population,5.0,5.0,3.0,0.0,3.25,,,,45428.0,Hard Coral,27.5,15.0,20.0,35.0,24.375,303.03,302.86,303.22,298.79,305.75,0.89,2.0,0.11,0.85,0.0,-3.867777778,2.31,12.0,6.47,45.0,6.0,0.0,3.17,18.38,2.01,-0.75,0.89,-4.81,2.13,-0.38,6.0,5.49,38.0,3.0,0.0,2.27,13.69,1.02
4322,10313431,Reef_Check,-2.94125,135.6675,135.40.3E.2.56.28.5S,Pacific,Central Indo-Pacific,Indonesia,,555.29,Sheltered,0.0907,51.242587,23,7,2010,12.0,202130.0,Colony,50.0,60.0,40.0,60.0,52.5,,,,45428.0,Hard Coral,27.5,15.0,20.0,35.0,24.375,303.03,302.86,303.22,298.79,305.75,0.89,2.0,0.11,0.85,0.0,-3.867777778,2.31,12.0,6.47,45.0,6.0,0.0,3.17,18.38,2.01,-0.75,0.89,-4.81,2.13,-0.38,6.0,5.49,38.0,3.0,0.0,2.27,13.69,1.02
4322,10313432,Reef_Check,-2.94125,135.6675,135.40.3E.2.56.28.5S,Pacific,Central Indo-Pacific,Indonesia,,555.29,Sheltered,0.0907,51.242587,23,7,2010,5.0,190929.0,Population,0.0,8.0,8.0,8.0,6.0,,,,45429.0,Hard Coral,50.0,40.0,45.0,67.5,50.625,303.03,302.86,303.22,298.79,305.75,0.89,2.0,0.11,0.85,0.0,-3.867777778,2.31,12.0,6.47,45.0,6.0,0.0,3.17,18.38,2.01,-0.75,0.89,-4.81,2.13,-0.38,6.0,5.49,38.0,3.0,0.0,2.27,13.69,1.02
4322,10313432,Reef_Check,-2.94125,135.6675,135.40.3E.2.56.28.5S,Pacific,Central Indo-Pacific,Indonesia,,555.29,Sheltered,0.0907,51.242587,23,7,2010,5.0,202129.0,Colony,80.0,60.0,70.0,60.0,67.5,,,,45429.0,Hard Coral,50.0,40.0,45.0,67.5,50.625,303.03,302.86,303.22,298.79,305.75,0.89,2.0,0.11,0.85,0.0,-3.867777778,2.31,12.0,6.47,45.0,6.0,0.0,3.17,18.38,2.01,-0.75,0.89,-4.81,2.13,-0.38,6.0,5.49,38.0,3.0,0.0,2.27,13.69,1.02
