Site_ID,Sample_ID,Data_Source,Latitude_Degrees,Longitude_Degrees,Reef_ID,Ocean_Name,Realm_Name,Country_Name,Site_Name,Distance_to_Shore,Exposure,Turbidity,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Bleaching_ID,Bleaching_Level,S1,S2,S3,S4,Percent_Bleached_Sum,Severity_Code,Bleaching_Prevalence_Score,Code_Comment,Cover_ID,Substrate_Name,Calculated_S1,Calculated_S2,Calculated_S3,Calculated_S4,Percent_Cover_Sum,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean
6685,10321257,Reef_Check,10.15788889,98.13883333,98.8.19.8E.10.9.28.4N,Pacific,Western Indo-Pacific,Myanmar,,195.04,Sheltered,0.099559523,47.646377,1,3,2005,5.0,196845.0,Population,0.0,0.0,0.0,0.0,0.0,,,,53024.0,Hard Coral,75.0,70.0,77.5,57.5,70.0,302.8,302.36,301.8,297.07,305.34,1.16,2.0,0.45,0.95,0.0,-3.44125,3.02,6.0,6.69,28.0,7.0,0.0,3.84,24.66,2.6,-0.72,1.16,-6.0,2.25,-1.27,4.0,1.46,5.0,1.0,0.0,1.15,6.73,0.38
6685,10321257,Reef_Check,10.15788889,98.13883333,98.8.19.8E.10.9.28.4N,Pacific,Western Indo-Pacific,Myanmar,,195.04,Sheltered,0.099559523,47.646377,1,3,2005,5.0,207745.0,Colony,0.0,0.0,0.0,0.0,0.0,,,,53024.0,Hard Coral,75.0,70.0,77.5,57.5,70.0,302.8,302.36,301.8,297.07,305.34,1.16,2.0,0.45,0.95,0.0,-3.44125,3.02,6.0,6.69,28.0,7.0,0.0,3.84,24.66,2.6,-0.72,1.16,-6.0,2.25,-1.27,4.0,1.46,5.0,1.0,0.0,1.15,6.73,0.38
6685,10321258,Reef_Check,10.15788889,98.13883333,98.8.19.8E.10.9.28.4N,Pacific,Western Indo-Pacific,Myanmar,,195.04,Sheltered,0.099559523,47.646377,18,4,2013,6.0,196846.0,Population,0.0,0.0,0.0,0.0,0.0,,,,53023.0,Hard Coral,60.0,85.0,72.5,70.0,71.875,302.59,303.86,301.8,297.07,305.34,1.16,2.0,0.79,0.95,0.0,-3.44125,3.02,10.0,6.69,28.0,7.0,4.21,3.84,24.66,2.6,0.78,1.16,-6.0,2.25,-1.27,0.0,1.46,5.0,1.0,0.0,1.15,6.73,0.38
6685,10321258,Reef_Check,10.15788889,98.13883333,98.8.19.8E.10.9.28.4N,Pacific,Western Indo-Pacific,Myanmar,,195.04,Sheltered,0.099559523,47.646377,18,4,2013,6.0,207746.0,Colony,0.0,0.0,1.0,0.0,0.25,,,,53023.0,Hard Coral,60.0,85.0,72.5,70.0,71.875,302.59,303.86,301.8,297.07,305.34,1.16,2.0,0.79,0.95,0.0,-3.44125,3.02,10.0,6.69,28.0,7.0,4.21,3.84,24.66,2.6,0.78,1.16,-6.0,2.25,-1.27,0.0,1.46,5.0,1.0,0.0,1.15,6.73,0.38
