Site_ID,Sample_ID,Data_Source,Latitude_Degrees,Longitude_Degrees,Reef_ID,Ocean_Name,Realm_Name,Country_Name,Site_Name,Distance_to_Shore,Exposure,Turbidity,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Bleaching_ID,Bleaching_Level,S1,S2,S3,S4,Percent_Bleached_Sum,Severity_Code,Bleaching_Prevalence_Score,Code_Comment,Cover_ID,Substrate_Name,Calculated_S1,Calculated_S2,Calculated_S3,Calculated_S4,Percent_Cover_Sum,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean
4299,10311439,Reef_Check,-5.076666667,119.3188333,119.19.7.8E.5.4.36S,Pacific,Central Indo-Pacific,Indonesia,,387.38,Sheltered,0.096,50.431019,8,11,2008,10.0,189527.0,Population,0.0,0.0,0.0,0.0,0.0,,,,43491.0,Hard Coral,30.0,20.0,42.5,35.0,31.875,302.8,303.61,302.22,297.97,305.26,1.09,2.0,0.79,0.89,0.0,-3.396666667,2.88,7.0,6.02,34.0,6.0,3.32,3.46,26.26,2.17,0.69,1.09,-4.94,2.33,-0.69,3.0,3.21,18.0,3.0,0.0,1.86,14.02,0.97
4299,10311439,Reef_Check,-5.076666667,119.3188333,119.19.7.8E.5.4.36S,Pacific,Central Indo-Pacific,Indonesia,,387.38,Sheltered,0.096,50.431019,8,11,2008,10.0,200732.0,Colony,0.0,0.0,0.0,0.0,0.0,,,,43491.0,Hard Coral,30.0,20.0,42.5,35.0,31.875,302.8,303.61,302.22,297.97,305.26,1.09,2.0,0.79,0.89,0.0,-3.396666667,2.88,7.0,6.02,34.0,6.0,3.32,3.46,26.26,2.17,0.69,1.09,-4.94,2.33,-0.69,3.0,3.21,18.0,3.0,0.0,1.86,14.02,0.97
4299,10311440,Reef_Check,-5.076666667,119.3188333,119.19.7.8E.5.4.36S,Pacific,Central Indo-Pacific,Indonesia,,387.38,Sheltered,0.096,50.431019,8,11,2008,3.0,189526.0,Population,0.0,0.0,0.0,0.0,0.0,,,,43492.0,Hard Coral,52.5,52.5,40.0,62.5,51.875,302.8,303.61,302.22,297.97,305.26,1.09,2.0,0.79,0.89,0.0,-3.396666667,2.88,7.0,6.02,34.0,6.0,3.32,3.46,26.26,2.17,0.69,1.09,-4.94,2.33,-0.69,3.0,3.21,18.0,3.0,0.0,1.86,14.02,0.97
4299,10311440,Reef_Check,-5.076666667,119.3188333,119.19.7.8E.5.4.36S,Pacific,Central Indo-Pacific,Indonesia,,387.38,Sheltered,0.096,50.431019,8,11,2008,3.0,200731.0,Colony,0.0,0.0,0.0,0.0,0.0,,,,43492.0,Hard Coral,52.5,52.5,40.0,62.5,51.875,302.8,303.61,302.22,297.97,305.26,1.09,2.0,0.79,0.89,0.0,-3.396666667,2.88,7.0,6.02,34.0,6.0,3.32,3.46,26.26,2.17,0.69,1.09,-4.94,2.33,-0.69,3.0,3.21,18.0,3.0,0.0,1.86,14.02,0.97
