Site_ID,Sample_ID,Data_Source,Latitude_Degrees,Longitude_Degrees,Reef_ID,Ocean_Name,Realm_Name,Country_Name,Site_Name,Distance_to_Shore,Exposure,Turbidity,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Bleaching_ID,Bleaching_Level,S1,S2,S3,S4,Percent_Bleached_Sum,Severity_Code,Bleaching_Prevalence_Score,Code_Comment,Cover_ID,Substrate_Name,Calculated_S1,Calculated_S2,Calculated_S3,Calculated_S4,Percent_Cover_Sum,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean
2332,10324190,Donner,14.15,145.2,,Pacific,Central Indo-Pacific,Commonwealth of the Northern Mariana Islands,,175.16,Exposed,0.0204,59.993628,15,7,2001,7.0,217162.0,,,,,,5.5,Mild (1-10% Bleached),,Bleaching percentage averaged from code,,,,,,,,262.15,302.3,301.404,297.882,304.688,1.076,3.0,0.088,1.0,0.0,-2.972,2.596,4.4,3.638,17.0,3.2,2.536,1.906,11.892,1.188,-0.004,1.076,-4.412,2.38,-0.89,1.6,1.846,9.6,1.0,0.0,1.27,10.374,0.466
2332,10324192,Donner,14.15,145.2,,Pacific,Central Indo-Pacific,Commonwealth of the Northern Mariana Islands,,175.16,Exposed,0.0204,59.993628,15,10,2001,27.5,217164.0,,,,,,30.5,Moderate (11-50% Bleached),,Bleaching percentage averaged from code,,,,,,,,262.15,302.734,301.404,297.882,304.688,1.076,6.0,0.58,1.0,0.0,-2.972,2.596,3.2,3.638,17.0,3.2,0.432,1.906,11.892,1.188,0.43,1.076,-4.412,2.38,-0.89,0.4,1.846,9.6,1.0,0.418,1.27,10.374,0.466
2332,10324191,Donner,14.15,145.2,,Pacific,Central Indo-Pacific,Commonwealth of the Northern Mariana Islands,,175.16,Exposed,0.0204,59.993628,15,7,2001,,217163.0,,,,,,75.0,Severe (>50% Bleached),,Bleaching percent averaged from code,,,,,,,,262.15,302.3,301.404,297.882,304.688,1.076,3.0,0.088,1.0,0.0,-2.972,2.596,4.4,3.638,17.0,3.2,2.536,1.906,11.892,1.188,-0.004,1.076,-4.412,2.38,-0.89,1.6,1.846,9.6,1.0,0.0,1.27,10.374,0.466
